,percent_hispanic,percent_non_hispanic_american_indianalaska_native,percent_non_hispanic_asian,percent_non_hispanic_black,percent_non_hispanic_native_hawaiianpacific_islander,percent_non_hispanic_white,social_vulnerability_index,cvac_level_of_concern_for_vaccination_rollout,actual_y,predict_y
813,0.04,0.0019,0.0593,0.0389,0.0002,0.8367,0.03,0.24,0.13,0.16092005816426264
814,0.0174,0.0,0.0094,0.0097,0.0,0.9543,0.06,0.23,0.16,0.1827724100735715
815,0.0236,0.0,0.008,0.0237,0.0,0.9238,0.02,0.36,0.19,0.18673524032923042
816,0.0149,0.0009,0.0,0.0039,0.0,0.9605,0.39,0.8,0.19,0.21525907890435977
817,0.1703,0.0099,0.0037,0.0019,0.0,0.7893,0.85,0.67,0.22,0.20008357473921362
818,0.0312,0.0013,0.0069,0.0906,0.0,0.8579,0.65,0.61,0.18,0.2105212826681528
819,0.0664,0.0027,0.0,0.1889,0.0,0.7385,0.47,0.73,0.17,0.2166820604855428
820,0.0123,0.0018,0.0049,0.0095,0.0,0.9606,0.2,0.13,0.18,0.18264539342989303
821,0.0497,0.0004,0.0027,0.0193,0.0005,0.9156,0.69,0.85,0.2,0.21928431862285364
822,0.023,0.0008,0.0201,0.1268,0.0004,0.8034,0.44,0.16,0.16,0.1827342264335699
823,0.1277,0.0018,0.0263,0.1258,0.0001,0.6902,0.72,0.36,0.17,0.18292324834943885
824,0.0334,0.0052,0.0066,0.0113,0.0003,0.9349,0.31,0.29,0.19,0.18944504076839433
825,0.057,0.0011,0.005,0.019,0.0,0.9044,0.2,0.32,0.17,0.18653505973978596
826,0.0248,0.0023,0.0061,0.0677,0.0001,0.8817,0.5,0.46,0.18,0.2012267703893883
827,0.0274,0.0004,0.0003,0.0053,0.0008,0.9461,0.13,0.32,0.18,0.18902212690718453
828,0.0336,0.0045,0.0125,0.0749,0.0002,0.8508,0.48,0.57,0.2,0.20210729243105563
829,0.0991,0.0004,0.008,0.0116,0.0004,0.8629,0.08,0.26,0.14,0.17608099567907348
830,0.0519,0.0011,0.0033,0.0161,0.0,0.9107,0.68,0.49,0.18,0.20198712948609465
831,0.0295,0.0004,0.002,0.0584,0.0,0.8824,0.75,0.62,0.18,0.21141126489200146
832,0.0062,0.0016,0.0026,0.0151,0.0,0.9619,0.43,0.53,0.18,0.20520285199293742
833,0.037000000000000005,0.0008,0.0077,0.0121,0.0,0.9307,0.17,0.42,0.17,0.19138587384627365
834,0.0622,0.0027,0.0056,0.0545,0.0009,0.8619,0.3,0.34,0.17,0.18990707870798013
835,0.031,0.0,0.0075,0.0036,0.0,0.9488,0.67,0.81,0.21,0.21688979846114878
836,0.03,0.0021,0.0296,0.0173,0.0,0.9061,0.04,0.2,0.15,0.17190989275982035
837,0.0125,0.0025,0.0003,0.0237,0.0,0.9551,0.61,0.68,0.2,0.2160659683866702
838,0.0276,0.0,0.0057,0.0421,0.0,0.9096,0.45,0.69,0.18,0.2097216486427377
839,0.0144,0.0013,0.0029,0.0086,0.0005,0.96,0.07,0.13,0.18,0.18108368608605274
840,0.0158,0.0004,0.005,0.0067,0.0,0.9653,0.21,0.4,0.18,0.19464186860056049
841,0.0162,0.0005,0.0042,0.0219,0.0,0.9357,0.32,0.56,0.17,0.20221654823068386
842,0.0035,0.0003,0.0009,0.0049,0.0,0.9697,0.24,0.44,0.18,0.1977315957558654
843,0.0193,0.0013,0.0043,0.006,0.0,0.9537,0.19,0.58,0.18,0.20111592122703092
844,0.0481,0.0025,0.0406,0.1761,0.0001,0.6990000000000001,0.61,0.25,0.16,0.17966697308770688
845,0.052000000000000005,0.0031,0.0042,0.0093,0.0005,0.9176,0.35,0.65,0.19,0.20417354724236803
846,0.0747,0.0016,0.038,0.1128,0.0004,0.7385,0.52,0.54,0.18,0.18735784787959123
847,0.016,0.003,0.008,0.0406,0.0002,0.9168,0.25,0.26,0.17,0.1881718417288249
848,0.0121,0.0,0.0021,0.0139,0.0005,0.9622,0.2,0.48,0.18,0.1994912501504588
849,0.0075,0.0,0.0015,0.004,0.0,0.987,0.15,0.33,0.18,0.1935476455391903
850,0.1898,0.0019,0.0139,0.2338,0.0002,0.5412,0.73,0.72,0.18,0.20231434608124246
851,0.0316,0.0006,0.0034,0.1107,0.0,0.8498,0.46,0.59,0.18,0.20968742616587782
852,0.0112,0.0016,0.0018,0.0076,0.0,0.9645,0.29,0.2,0.17,0.1880022090715017
853,0.2529,0.001,0.0723,0.2307,0.0002,0.4229,0.68,0.5,0.14,0.16321601840528588
854,0.0726,0.0034,0.0067,0.0069,0.0007,0.9026,0.44,0.76,0.17,0.20825570170657867
855,0.0303,0.0034,0.006,0.0057,0.0004,0.9466,0.05,0.31,0.17,0.1866530184599548
856,0.0228,0.0022,0.0101,0.1468,0.0001,0.7626,0.6,0.26,0.18,0.19018603355982194
857,0.0131,0.001,0.0056,0.0083,0.0003,0.9614,0.08,0.45,0.18,0.19460739179437436
858,0.0187,0.0032,0.0054,0.0467,0.0013,0.9213,0.59,0.64,0.18,0.21292532970896721
859,0.0145,0.004,0.0016,0.0076,0.0,0.9661,0.29,0.55,0.18,0.20430856490300986
860,0.0162,0.003,0.006,0.0131,0.0009,0.9502,0.24,0.38,0.18,0.1939652778872318
861,0.0457,0.0,0.0085,0.0413,0.0,0.8915,0.48,0.36,0.19,0.1930546640561742
862,0.0358,0.0012,0.0338,0.0238,0.0002,0.89,0.14,0.38,0.17,0.17935750405328676
863,0.0576,0.0017,0.011,0.0848,0.0,0.8287,0.65,0.48,0.16,0.19997393383750908
864,0.0096,0.0013,0.0,0.0879,0.0,0.8868,0.57,0.43,0.17,0.20570352736702388
865,0.0538,0.0009,0.0104,0.0669,0.0001,0.8321,0.25,0.57,0.19,0.19521102128972012
866,0.0171,0.0045,0.0051,0.0079,0.0,0.9519,0.41,0.41,0.18,0.19749201488732548
867,0.0129,0.0019,0.0036,0.0118,0.0,0.9585,0.35,0.41,0.17,0.1977463861146755
868,0.0914,0.0019,0.0087,0.0102,0.0001,0.877,0.29,0.26,0.16,0.18069206048730752
869,0.0698,0.0007,0.0035,0.0082,0.0,0.8983,0.34,0.38,0.19,0.18947903099507363
